Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Application/SauceDemo/Filter/Cancel - Button""), 0)",,,,2023-05-26 00:45:06,2023-05-26 00:45:07,1.278s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Filter""), 0)",,,,2023-05-26 00:45:07,2023-05-26 00:45:08,0.934s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Price (high to low) - Sort""), 0)",,,,2023-05-26 00:45:08,2023-05-26 00:45:09,0.867s,PASSED
"getText(findTestObject(""Application/SauceDemo/Filter/49.99 - Assert Price Highest""), 0)",,,,2023-05-26 00:45:09,2023-05-26 00:45:10,0.910s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Filter""), 0)",,,,2023-05-26 00:45:10,2023-05-26 00:45:10,0.489s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Price (low to high) - Sort""), 0)",,,,2023-05-26 00:45:10,2023-05-26 00:45:11,0.792s,PASSED
"getText(findTestObject(""Application/SauceDemo/Filter/7.99 - Assert Price Lowest""), 0)",,,,2023-05-26 00:45:11,2023-05-26 00:45:12,0.834s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Filter""), 0)",,,,2023-05-26 00:45:12,2023-05-26 00:45:12,0.375s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Name (Z to A) - Sort""), 0)",,,,2023-05-26 00:45:12,2023-05-26 00:45:13,0.939s,PASSED
"getText(findTestObject(""Application/SauceDemo/Filter/T-Shirt (Red) - Assertion Z to A""), 0)",,,,2023-05-26 00:45:13,2023-05-26 00:45:14,0.857s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Filter""), 0)",,,,2023-05-26 00:45:14,2023-05-26 00:45:14,0.406s,PASSED
"tap(findTestObject(""Application/SauceDemo/Filter/Name (A to Z) - Sort""), 0)",,,,2023-05-26 00:45:14,2023-05-26 00:45:15,0.939s,PASSED
"getText(findTestObject(""Application/SauceDemo/Filter/Sauce Labs Backpack - Assertion A to Z""), 0)",,,,2023-05-26 00:45:15,2023-05-26 00:45:17,1.318s,PASSED
,,,,,,,
Test Cases/4. Checkout,,,,2023-05-26 00:45:17,2023-05-26 00:47:07,1m - 50.335s,PASSED
"startExistingApplication(""com.swaglabsmobileapp"")",,,,2023-05-26 00:45:17,2023-05-26 00:45:30,13.225s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Sauce Labs Backpack""), 0)",,,,2023-05-26 00:45:30,2023-05-26 00:45:32,2.223s,PASSED
"scrollToText(""Add To Cart"")",,,,2023-05-26 00:45:32,2023-05-26 00:45:38,5.931s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Add To Cart - Button""), 0)",,,,2023-05-26 00:45:38,2023-05-26 00:45:39,0.431s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Remove - Assert Add 1""), 0)",,,,2023-05-26 00:45:39,2023-05-26 00:45:40,0.948s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Add Number Cart - Assert add 2""), 0)",,,,2023-05-26 00:45:40,2023-05-26 00:45:40,0.397s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Back to Products - Button""), 0)",,,,2023-05-26 00:45:40,2023-05-26 00:45:41,0.507s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Remove - Assert Add Dash 3""), 0)",,,,2023-05-26 00:45:41,2023-05-26 00:45:42,1.335s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Sauce Labs Bike - Card""), 0)",,,,2023-05-26 00:45:42,2023-05-26 00:45:42,0.412s,PASSED
"scrollToText(""Add To Cart"")",,,,2023-05-26 00:45:42,2023-05-26 00:45:48,5.925s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Add To Cart - Button""), 0)",,,,2023-05-26 00:45:48,2023-05-26 00:45:49,0.531s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Cart - Button""), 0)",,,,2023-05-26 00:45:49,2023-05-26 00:45:50,1.033s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Your Cart - Assetion Cart""), 0)",,,,2023-05-26 00:45:50,2023-05-26 00:45:51,1.503s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Remove Backpack - Button""), 0)",,,,2023-05-26 00:45:51,2023-05-26 00:45:52,0.504s,PASSED
"verifyElementNotExist(findTestObject(""Application/SauceDemo/Checkout/SauceLabsBackpack - Assertion Delete""), 0)",,,,2023-05-26 00:45:52,2023-05-26 00:46:22,30.265s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Continue Shopping - Button""), 0)",,,,2023-05-26 00:46:22,2023-05-26 00:46:24,1.406s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Cart - Button""), 0)",,,,2023-05-26 00:46:24,2023-05-26 00:46:24,0.284s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Your Cart - Assetion Cart""), 0)",,,,2023-05-26 00:46:24,2023-05-26 00:46:25,1.413s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Checkout - Button""), 0)",,,,2023-05-26 00:46:25,2023-05-26 00:46:26,0.311s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Checkout Information""), 0)",,,,2023-05-26 00:46:26,2023-05-26 00:46:27,1.761s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Cancel Checkout Info - Button""), 0)",,,,2023-05-26 00:46:27,2023-05-26 00:46:28,0.308s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Products - Assertion Continue Shopping""), 0)",,,,2023-05-26 00:46:28,2023-05-26 00:46:29,1.127s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Cart - Button""), 0)",,,,2023-05-26 00:46:29,2023-05-26 00:46:29,0.267s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Your Cart - Assetion Cart""), 0)",,,,2023-05-26 00:46:29,2023-05-26 00:46:30,1.334s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Checkout - Button""), 0)",,,,2023-05-26 00:46:30,2023-05-26 00:46:31,0.335s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Checkout Information""), 0)",,,,2023-05-26 00:46:31,2023-05-26 00:46:32,1.470s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), 0)",,,,2023-05-26 00:46:32,2023-05-26 00:46:32,0.269s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), 0)",,,,2023-05-26 00:46:32,2023-05-26 00:46:33,0.639s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), ""muslikah"", 0)",,,,2023-05-26 00:46:33,2023-05-26 00:46:35,1.642s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), 0)",,,,2023-05-26 00:46:35,2023-05-26 00:46:35,0.645s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), ""1234"", 0)",,,,2023-05-26 00:46:35,2023-05-26 00:46:38,2.148s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Continue Checkout - Button""), 0)",,,,2023-05-26 00:46:38,2023-05-26 00:46:38,0.693s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/First Name is required - Validation""), 0)",,,,2023-05-26 00:46:38,2023-05-26 00:46:39,0.923s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), 0)",,,,2023-05-26 00:46:39,2023-05-26 00:46:39,0.246s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/First Name - Field""), ""ainafatul"", 0)",,,,2023-05-26 00:46:39,2023-05-26 00:46:41,1.171s,PASSED
